Constituency Name,2007,2006,2005,2004,2003,2002,2001,2000
Grand River North West and Port Louis West,"37,577","37,769","37,518","37,518","37,283","37,327","37,137","36,423"
Port Louis South and Port Louis Central,"23,554","23,615","23,878","23,878","24,268","24,412","24,484","23,856"
Port Louis Maritime and Port Louis East,"21,860","21,950","22,145","22,145","22,393","22,682","22,779","22,234"
Port Louis North and Montagne Longue,"42,395","42,595","42,432","42,432","42,131","41,774","41,370","40,219"
Pamplemousses and Triolet,"51,676","51,905","51,606","51,606","51,237","50,172","48,887","46,854"
Grand Baie and Poudre D'Or,"45,070","45,247","44,907","44,907","44,199","43,758","43,112","42,026"
Piton and Riviere du Rempart,"38,242","38,328","38,042","38,042","37,623","37,266","36,806","35,997"
Quartier Militaire and Moka,"38,424","38,584","38,257","38,257","37,862","37,472","37,077","36,398"
Flacq and Bon Accueil,"47,422","47,456","47,185","47,185","46,896","46,398","45,851","44,579"
Montagne Blanche and Grand River South East,"44,326","44,394","44,077","44,077","43,521","43,047","42,562","41,530"
Vieux Grand Port and Rose Belle,"36,623","36,775","36,456","36,456","36,129","35,826","35,299","34,587"
Mahebourg and Plaine Magnien,"33,934","34,111","33,998","33,998","33,818","33,770","33,526","32,752"
Riviere des Anguilles and Souillac,"31,364","31,474","31,118","31,118","30,991","30,790","30,764","30,345"
Savanne and Black River,"53,398","53,649","53,002","53,002","52,694","52,108","51,305","49,724"
La Caverne and Phoenix,"49,710","49,950","49,537","49,537","49,033","48,695","48,350","47,208"
Vacoas and Floreal,"41,132","41,280","40,957","40,957","40,837","40,660","40,566","39,192"
Curepipe and Midlands,"42,153","42,469","42,223","42,223","42,192","42,039","41,908","40,277"
Belle Rose and Quatre Bornes,"39,823","40,020","40,073","40,073","40,244","40,414","40,464","39,402"
Stanley and Rose Hill,"36,310","36,528","36,633","36,633","36,464","36,449","36,361","35,860"
Beau Bassin and Petitie Riviere,"39,381","39,625","39,405","39,405","39,234","39,247","39,360","38,788"
Rodrigues,"24,805","24,682","23,856","23,856","23,349","22,778","21,947","21,180"
,0,0,0,0,0,0,0,0
