Constituencies,SURNAME AND OTHER NAMES,PARTY,COMMUNITY,VOTES SCORED,Percentage
Grand River North West and Port Louis West,"DAVID, Gilles Fabrice",L'Alliance Nationale,General Population,10023,34.77%
Grand River North West and Port Louis West,"CHUKOWRY, Dr. Marie Christiane Dorine",L'Alliance Morisien,General Population,9213,31.96%
Grand River North West and Port Louis West,"ARMANCE, Patrice Kursley",L'Alliance Nationale,General Population,9199,31.92%
Grand River North West and Port Louis West,"NAVARRE-MARIE, Marie Arianne",Mouvement Militant Mauricien (MMM),General Population,9152,31.75%
Grand River North West and Port Louis West,"BALOOMOODY, Vedasingam Vasudevachariar, also known as Veda Balamoody",Mouvement Militant Mauricien (MMM),Hindu,8768,30.42%
Grand River North West and Port Louis West,"AUFFRAY, Louis Clive",L'Alliance Morisien,General Population,8616,29.89%
Grand River North West and Port Louis West,"CATHERINE, Louis Giovanni Bède",Mouvement Militant Mauricien (MMM),General Population,8503,29.50%
Grand River North West and Port Louis West,"BARBIER, Jean-Claude",L'Alliance Nationale,General Population,8064,27.98%
Grand River North West and Port Louis West,"VENCADASMY, Dhojaven, also known as Nilen",L'Alliance Morisien,Hindu,7989,27.72%
Grand River North West and Port Louis West,"FRIVET, Leevy Jimmitry",Reform Party,General Population,897,3.11%
Grand River North West and Port Louis West,"WONG QUAI LAM, James Clive",Reform Party,General Population,601,2.09%
Grand River North West and Port Louis West,"ANTHONY, Jean François Désiré Mervin",Parti Kreol Morisien (PKM),General Population,553,1.92%
Grand River North West and Port Louis West,"SARAMANDIF, Marie Cynthia Karen",Parti Kreol Morisien (PKM),General Population,417,1.45%
Grand River North West and Port Louis West,"MARIE, Jean Noel Stephan",Parti Kreol Morisien (PKM),General Population,406,1.41%
Grand River North West and Port Louis West,"MAUTHOOR, Mobeen",Front Solidarite Mauricien (FSM),Muslim,390,1.35%
Grand River North West and Port Louis West,"ACHARUZ, Ravinandun Kumar, also known as Ashiv",100% Citoyens,General Population,369,1.28%
Grand River North West and Port Louis West,"SAMOO, Sheldon",Reform Party,General Population,338,1.17%
Grand River North West and Port Louis West,"GOPAUL, Farook",100% Citoyens,General Population,300,1.04%
Grand River North West and Port Louis West,"HURREE, Veersen, also known as Soobash",100% Citoyens,General Population,228,0.79%
Grand River North West and Port Louis West,"MAMODE, Jean Stephano",Party Malin,General Population,226,0.78%
Grand River North West and Port Louis West,"BESAGE, Louis Mike Frederic",Party Malin,General Population,221,0.77%
Grand River North West and Port Louis West,"MOOTHIEN, Marie Jean Linley",Independant,General Population,206,0.72%
Grand River North West and Port Louis West,"L'ENCLUME, Louis Virgile Stevendo",Front Solidarite Mauricien (FSM),General Population,200,0.69%
Grand River North West and Port Louis West,"JOSON, Louis Eddy, also known as Baby Joson",Front Solidarite Mauricien (FSM),Sino-Mauritian,196,0.68%
Grand River North West and Port Louis West,"BAIJNATH, Teeluck, also known as Teelock",Independant,Hindu,183,0.64%
Grand River North West and Port Louis West,"ADÉLIA, Marie Christinne Isabelle",Lalit,General Population,171,0.59%
Grand River North West and Port Louis West,"DUVAL, Surekha",Lalit,Muslim,155,0.54%
Grand River North West and Port Louis West,"MEYEPA, Georges Harold Guilliano",Ralliement Citoyen Pour La Patrie,General Population,139,0.48%
Grand River North West and Port Louis West,"APPADOO, Krisley",Independant,Hindu,127,0.44%
Grand River North West and Port Louis West,"BOUSAC, Roland Clovis",Lalit,Sino-Mauritian,114,0.40%
Grand River North West and Port Louis West,"BODINADE-KATHAN, Marie
Jacqueline Carine",Les Verts Fraternels,General Population,108,0.38%
Grand River North West and Port Louis West,"ROLFO, Michel Miko",Les Verts Fraternels,General Population,87,0.30%
Grand River North West and Port Louis West,"TOLBIZE, Mohammad Ajmal",Mouvement Ene Sel Direction,Muslim,84,0.29%
Grand River North West and Port Louis West,"MULIN, Eddy Joseph Henry",Liberte sans Frontiere,General Population,64,0.22%
Grand River North West and Port Louis West,"MINATCHEE, Ranganaden",Front Socialiste,General Population,36,0.13%
Grand River North West and Port Louis West,"JOLY, Marcos",Mouvement Ene Sel Direction,Sino-Mauritian,35,0.12%
Grand River North West and Port Louis West,"GANESH, Padummun",Rassemblement Socialiste Mauricien,Hindu,34,0.12%
Grand River North West and Port Louis West,"EDMOND, Joan Dary",Mouvement Ene Sel Direction,Muslim,32,0.11%
Grand River North West and Port Louis West,"GANESH, Tarasing",Rassemblement Socialiste Mauricien,Hindu,25,0.09%
Port Louis South and Port Louis Central,"MAHOMED, Mahomed Osman Cassam, also known as Osman Mohamed",L'Alliance Nationale,Muslim,10560,60.09%
