Constituency Name,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1982
Grand River North West and Port Louis West,"42,950","42,041","42,399","41,536","40,543","40,059","40,578","41,905","42,456","41,107","41,326","41,524","40,241","40,572","39,714","37,577","37,769","37,518","37,518","37,283","37,327","37,137","36,423","35,425","34,642","34,880","33,761","32,296","32,069","31,933","31,255","30,755","30,148","29,813","29,048","28,951","25,955","24,241","23,893"
Port Louis South and Port Louis Central,"24,287","24,115","24,359","24,238","23,959","23,759","24,293","25,081","25,470","24,860","24,960","25,044","24,463","24,642","24,300","23,554","23,615","23,878","23,878","24,268","24,412","24,484","23,856","23,958","24,736","24,772","24,691","24,741","25,119","26,149","26,180","25,930","25,515","25,805","25,848","25,257","20,380","20,441","19,678"
Port Louis Maritime and Port Louis East,"21,772","21,881","22,053","21,943","21,530","21,383","21,763","22,771","23,112","22,682","22,834","22,960","22,428","22,488","22,344","21,860","21,950","22,145","22,145","22,393","22,682","22,779","22,234","18,774","19,291","19,421","19,521","19,524","19,999","20,462","20,642","20,701","25,520","20,952","25,061","21,037","13,418","13,450","16,494"
Port Louis North and Montagne Longue,"50,977","49,702","50,097","48,918","48,061","47,672","48,664","49,217","49,865","47,775","47,779","47,989","45,986","46,179","45,192","42,395","42,595","42,432","42,432","42,131","41,774","41,370","40,219","42,072","41,004","41,067","39,875","39,151","38,204","38,340","37,769","37,044","36,024","35,231","34,401","33,876","34,772","34,067","31,217"
Pamplemousses and Triolet,"68,671","66,546","66,942","65,115","63,527","62,388","62,260","61,347","62,092","58,651","58,749","58,948","56,429","56,620","55,189","51,676","51,905","51,606","51,606","51,237","50,172","48,887","46,854","44,821","43,052","43,167","41,277","41,365","40,170","39,798","38,883","37,665","36,509","35,852","33,964","33,929","36,887","31,392","31,274"
Grand Baie and Poudre D'Or,"56,996","55,430","55,729","53,949","52,847","51,752","51,430","51,743","52,351","49,824","49,817","49,998","48,115","48,379","47,426","45,070","45,247","44,907","44,907","44,199","43,758","43,112","42,026","40,981","39,148","39,376","37,665","37,768","36,836","36,460","35,826","34,932","34,158","33,358","31,438","31,424","33,357","28,400","28,442"
Piton and Riviere du Rempart,"45,495","44,321","44,664","43,993","43,270","42,781","42,678","42,581","43,079","41,369","41,478","41,633","40,379","40,624","40,114","38,242","38,328","38,042","38,042","37,623","37,266","36,806","35,997","35,249","33,967","34,093","32,824","32,909","32,192","32,001","31,596","30,935","30,359","29,957","28,949","28,919","25,027","22,692","22,229"
Quartier Militaire and Moka,"47,819","45,992","46,287","45,268","44,345","43,927","43,811","43,775","44,314","42,383","42,438","42,597","41,223","41,342","40,592","38,424","38,584","38,257","38,257","37,862","37,472","37,077","36,398","35,596","34,564","34,684","33,665","33,655","32,934","32,781","32,384","31,844","31,183","30,753","29,247","29,464","30,305","27,106","26,639"
Flacq and Bon Accueil,"58,573","57,314","57,712","56,788","55,602","54,973","54,688","54,146","54,724","52,331","52,483","52,622","50,612","50,883","49,658","47,422","47,456","47,185","47,185","46,896","46,398","45,851","44,579","43,499","41,598","41,529","39,937","40,027","39,059","38,749","37,902","37,144","36,445","35,851","34,261","34,540","35,744","31,467","31,410"
