Grand River North West and Port Louis West,Port Louis South and Port Louis Central,Port Louis Maritime And Port Louis East,Port Louis North And Montagne Longue,Pamplemousses and Triolet,Grand Baie And Poudre d'Or,Piton And Rivière du Rempart
Xavier Christian Barbe Government School,Raoul Rivet Government School,Sir Abdool Razack Mohamed State Secondary School,Nicolay Government School,Arsenal Government School,Sir Seewoosagur Ramgoolam Government School,Bheewa Mahadoo Government School
New Pailles Government School,Notre Dame De Bon Secours Roman Catholic Aided School,Villiers Rene Government School,La Briquetterie Government School,St. Malo Community Centre,Fond du Sac Government School,Sir Anerood Jugnauth Government School
Pailles State Secondary School (Girls),Renganaden Seeneevassen State Secondary School,Dr. Idrice A. Goumany Government School,Père Laval Roman Catholic Aided School,Louis Serge Coutet Government School,Doorgachurn Hurry Government School,Roches Noires Government School
Richelieu Government School,Labourdonnais Government School,Jean Lebrun Government School,Elsie Prèle Government School (Ex. Ste. Croix Government  School),Baie Du Tombeau Community Centre,S. K. Kanhye Government School,Pardoomun Shibchurn Government School
Pointe Aux Sables Government School,Guy Rozemont Government School,Coeur Sacre De Jesus Roman Catholic Aided School,Port Louis North State Secondary School,Droopnath Ramphul State College,Sharma Jugdambi State Secondary School,Amaury Government School
J. M. Frank Richard State Secondary School,Surtee Soonnee Government School,St. Francois Xavier Roman Catholic Aided School,Vallee Des Prêtres Government School,Brizmohunsingh Khemloliva Government School,R. Moosun Government School,Rampersad Goburdhun Government School
New La Tour Koenig Government School,G.M.D. Atchia State College,Emmanuel Anquetil Government School,Arya Ravived Pracharini Sabha,Ilot Government School,Saint Antoine Roman Catholic Aided School,Barlow Government School
La Tour Koenig Government School,St. Jean Baptiste De La Salle Roman Catholic Aided School,Abdool Rahman Abdool Government School,Crève Coeur Government School,D'Epinay Government School,Adolphe de Plevitz State Secondary School,L’Amitie Government School
Grand River North West Government School,Notre Dame De La Paix Roman Catholic Aided School,Jacques Le Chartier Government School,Mohabeer Foogooa Government School,Pandit Dowlut Sharma Ayrga Government School,Grand Baie Government School,Poudre D'Or Hamlet Government School
Residence Vallijee Government School,,La Fourche Community Centre,Pandit Jagdish Sharma Radhay Government School,Pamplemousses Government School,Jean Eon Roman Catholic Aided School,Espérance Trébuchet Government School
Dr. James Burty David State Secondary School,,Sainte Rita Government School,Notre Dame Government School,Pamplemousses State Secondary School,Petit Raffray Government School,Cottage Government School
Renganaden Seeneevassen Government School,,Abercrombie Training Centre (Ex Medco Trinity Secondary School),Hurryparsad Ramnarain Government School,Pointe Aux Piments Government School,Petit Raffray Social Welfare Centre,Mohunpersad Kisnah Government School
Medco Cassis Secondary School,,,Morcellement Raffray Government School,Professor Hassan Raffa State Secondary School,Goodlands State Secondary School Boys,Petite Julie Government School
Dr. Edgar Millien Government School,,,,Terre Rouge State Secondary School,Poudre d'Or Village Government School,Plaine St Cloud Roman Catholic Aided School
,,,,Daneswock Sewraz Government School,Marie Reine Roman Catholic Aided School,Mapou Government School
,,,,Maheshwarnath Government School,Roche Terre Government School,Plaine Des Papayes Government School
,,,,Triolet State Secondary School,The Vale Government School,Professor Ram Prakash Government School
,,,,Sir Harilall Vaghjee Government School,,
,,,,Noe Nemorin Government School,,
