,1987,,,,
Constituency Name,Electors,Voters,Voter turnout (%),Valid votes,"Valid votes 
(% of total votes)"
G.R.N.W and P. Louis West,"28,951","23,984",82.8,"23,757",99.1
Port Louis South and Port Louis Central,"25,257","20,381",80.7,"20,229",99.3
Port Louis Maritime and Port Louis East,"21,037","16,548",78.7,"16,291",98.4
Port Louis North and Montagne Longue,"33,876","29,578",87.3,"29,278",99
Pamplemousses and Triolet,"33,929","29,988",88.4,"29,561",98.6
Grand Baie and Poudre D'Or,"31,424","28,492",90.7,"28,104",98.6
Piton and Riviere du Rempart,"28,919","27,201",94.1,"26,903",98.9
Quartier Militaire and Moka,"29,464","26,880",91.2,"26,595",98.9
Flacq and Bon Accueil,"34,540","31,531",91.3,"31,112",98.7
Montagne Blanche and Grand River South East,"32,215","29,918",92.9,"29,519",98.7
Vieux Grand Port and Rose Belle,"27,521","25,549",92.8,"24,855",97.3
Mahebourg and Plaine Magnien,"27,121","24,695",91.1,"24,420",98.9
Riviere des Anguilles and Souillac,"25,935","24,694",95.2,"24,355",98.6
Savanne and Black River,"37,690","34,943",92.7,"34,505",98.7
La Caverne and Phoenix,"38,711","35,283",91.1,"34,937",99
Vacoas and Floreal,"34,734","30,503",87.8,"30,217",99.1
Curepipe and Midlands,"31,852","27,529",86.4,"27,269",99.1
Belle Rose and Quatre Bornes,"35,977","31,662",88,"31,440",99.3
Stanley and Rose Hill,"29,601","24,982",84.4,"24,723",99
Beau Bassin and Petite Riviere,"33,131","28,811",87,"28,553",99.1
ISLAND OF MAURITIUS,"621,885","553,152",88.9,"546,623",98.8
ISLAND OF RODRIGUES,"17,606",NA,NA,"14,435",NA
REPUBLIC OF MAURITIUS,"639,491",NA,NA,"561,058",NA
