,1983,,,,
Constituency Name,Electors,Voters,"Voter turnout
 (%)",Valid votes,"Valid votes 
(% of total votes)"
G.R.N.W and P. Louis West,"23,942","19,121",79.9,"18,922",99
Port Louis South and Port Louis Central,"19,871","15,801",79.5,"15,693",99.3
Port Louis Maritime and Port Louis East,"14,612","10,530",72.1,"10,378",98.6
Port Louis North and Montagne Longue,"31,308","25,385",81.1,"25,124",99
Pamplemousses and Triolet,"31,254","26,780",85.7,"26,375",98.5
Grand Baie and Poudre D'Or,"28,438","25,031",88,"24,707",98.7
Piton and Riviere du Rempart,"22,375","20,108",89.9,"19,864",98.8
Quartier Militaire and Moka,"26,731","23,597",88.3,"23,365",99
Flacq and Bon Accueil,"31,409","27,415",87.3,"27,007",98.5
Montagne Blanche and Grand River South East,"25,505","23,162",90.8,"22,916",98.9
Vieux Grand Port and Rose Belle,"23,982","21,021",87.7,"20,662",98.3
Mahebourg and Plaine Magnien,"23,543","20,526",87.2,"20,267",98.7
Riviere des Anguilles and Souillac,"22,703","20,828",91.7,"20,613",99
Savanne and Black River,"31,352","28,024",89.4,"27,683",98.8
La Caverne and Phoenix,"33,367","29,098",87.2,"28,838",99.1
Vacoas and Floreal,"30,097","24,982",83,"24,685",98.8
Curepipe and Midlands,"26,020","21,444",82.4,"21,196",98.8
Belle Rose and Quatre Bornes,"27,022","22,626",83.7,"22,361",98.8
Stanley and Rose Hill,"28,471","23,168",81.4,"22,933",99
Beau Bassin and Petite Riviere,"35,120","28,872",82.2,"28,632",99.2
ISLAND OF MAURITIUS,"537,122","457,519",85.2,"452,221",98.8
ISLAND OF RODRIGUES,"14,586",NA,NA,"12,244",NA
REPUBLIC OF MAURITIUS,"551,708",NA,NA,"464,465",NA
